"YearsSinceBurn","Compound","Concentration"
"752",21,"alpha.acorenol",0
"753",21,"gamma.eudesmol",0.8
"754",21,"beta.eudesmol",1
"755",21,"alpha.eudesmol",0.5
"756",21,"cedr.8.en.13.ol",6.9
"757",21,"cedr.8.en.15.ol",1.6
"758",21,"compound.2",2.5
"759",21,"thujopsenal",2.3
"760",22,"alpha.pinene",0.1
"761",22,"para.cymene",0.1
"762",22,"alpha.terpineol",0.2
"763",22,"cedr.9.ene",0.4
"764",22,"alpha.cedrene",17.1
"765",22,"beta.cedrene",3.6
"766",22,"cis.thujopsene",9.1
"767",22,"alpha.himachalene",0.1
"768",22,"beta.chamigrene",0.6
"769",22,"cuparene",1.3
"770",22,"compound.1",1
"771",22,"alpha.chamigrene",0.4
"772",22,"widdrol",5.7
"773",22,"cedrol",39.2
"774",22,"beta.acorenol",0
"775",22,"alpha.acorenol",0
"776",22,"gamma.eudesmol",0.5
